MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot_[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55264.6536921;2455265.1536921;55180.9093909391;6.647174755;0.006065224;0.7961;-2.3041736816;0.0009906815;1.2935231387;0.0055190681;0.15;-2.3392073569;0.0046325048;0.0350336753;0.0047372513;283.417318418;0.295480536
55239.0476852;2455239.5476852;55180.9093909391;7.0096086328;0.006434114;0.7961;-2.3618153669;0.0009965964;1.2551850072;0.0062465138;0.15;-2.3065412101;0.0054032403;-0.0552741568;0.0054943798;283.417318418;0.2051331746
55822.9889699;2455823.4889699;55180.9093909391;6.5780129737;0.0058719687;0.7961;-2.2928177544;0.0009691998;1.2326363357;0.0045544017;0.15;-2.2868592667;0.0040116283;-0.0059584878;0.0041270461;283.417318418;0.2654916875
55992.6907639;2455993.1907639;55180.9093909391;6.2642237656;0.0053566301;0.7961;-2.2397490973;0.000928429;1.1738385122;0.0045486838;0.15;-2.2337927375;0.0042072829;-0.0059563598;0.0043085043;283.417318418;0.8642617095
55999.1783333;2455999.6783333;55180.9093909391;6.4412565765;0.0058688539;0.7961;-2.2700074374;0.0009892522;1.1807302866;0.0059888812;0.15;-2.2401486107;0.0055070538;-0.0298588267;0.0055951998;283.417318418;0.8871522281
56166.6025231;2456167.1025231;55180.9093909391;5.750147979;0.0054018529;0.7961;-2.1467784935;0.0010199715;1.2021401553;0.0058198383;0.15;-2.2596596129;0.0052562999;0.1128811194;0.0053543469;283.417318418;0.4778860292
56166.6485069;2456167.1485069;55180.9093909391;5.8211172991;0.0057832022;0.7961;-2.1600968169;0.0010786644;1.1336199385;0.005748922;0.15;-2.1959405419;0.0055060894;0.035843725;0.005610752;283.417318418;0.4780482769
