MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot_[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55553.5908102;2455554.0908102;55150.5403540354;1.9837222309;0.0052773327;0.7961;-0.991283091;0.002888404;0.2682573454;0.0061984065;0.15;-0.6311509089;0.0250872324;-0.3601321821;0.0252529624;409.1335479841;0.9851317697
55557.5889352;2455558.0889352;55150.5403540354;1.9970830586;0.0055105759;0.7961;-0.9985712591;0.0029958853;0.3292770322;0.0046946639;0.15;-0.8536754493;0.0154798727;-0.1448958098;0.0157671109;409.1335479841;0.9949039456
55696.0037384;2455696.5037384;55150.5403540354;1.7799488023;0.0049988277;0.7961;-0.8735997168;0.0030491934;0.289263704;0.0057683263;0.15;-0.71300671;0.0216511114;-0.1605930067;0.0218647709;409.1335479841;0.3332159806
55697.7985185;2455698.2985185;55150.5403540354;1.8220412333;0.0061189217;0.7961;-0.8989764426;0.0036462045;0.3001511179;0.0054627924;0.15;-0.7531217655;0.019760551;-0.1458546771;0.020094133;409.1335479841;0.3376027636
55729.0569676;2455729.5569676;55150.5403540354;1.674263857;0.0060164827;0.7961;-0.8071406953;0.0039016031;0.2075472697;0.0054743828;0.15;-0.352564414;0.0286379851;-0.4545762813;0.0289025379;409.1335479841;0.4140043426
55932.4590625;2455932.9590625;55150.5403540354;1.8404606329;0.0047419335;0.7961;-0.9098972712;0.0027973915;0.2707361843;0.0051324173;0.15;-0.641137612;0.0205825879;-0.2687596593;0.0207718156;409.1335479841;0.911157646
55933.601331;2455934.101331;55150.5403540354;1.8399254419;0.0050058079;0.7961;-0.909581502;0.0029539169;0.2975843086;0.0062426573;0.15;-0.7437969209;0.0227763323;-0.1657845812;0.0229670837;409.1335479841;0.9139495669
