MJD;JD;Epoche;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_vo_blau;m_b[mag];delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_vo_rot;m_r[mag];delta_m_r;m_b-m_r;delta_m_b-m_r;P_LS;Phase_LS
55264.7795255;2455265.2795255;55300.794779478;2.2584150634;0.0060293956;0.7961;-1.1320903448;0.0028986404;0.4524894161;0.0059685512;0.15;-1.1987929157;0.0143213784;0.0667025709;0.0146117759;334.7664965552;0.892416791
55448.8089699;2455449.3089699;55300.794779478;2.0818856207;0.0060451703;0.7961;-1.0437231042;0.0031526517;0.4634707642;0.0058184296;0.15;-1.2248277124;0.0136303737;0.1811046083;0.0139902216;334.7664965552;0.4421415881
55449.7747106;2455450.2747106;55300.794779478;2.0889253724;0.0058327247;0.7961;-1.0473882525;0.0030316068;0.4531037446;0.0077479747;0.15;-1.2002659807;0.0185658511;0.1528777281;0.0188117375;334.7664965552;0.4450264069
55807.6345486;2455808.1345486;55300.794779478;1.7931218498;0.0057082024;0.7961;-0.8816054467;0.0034563195;0.3332252896;0.0053583879;0.15;-0.8666167376;0.0174590462;-0.0149887091;0.0177978773;334.7664965552;0.5140098377
55808.6417477;2455809.1417477;55300.794779478;1.823777712;0.0045401272;0.7961;-0.9000107002;0.0027028406;0.3914156197;0.005281381;0.15;-1.0413672337;0.0146498665;0.1413565335;0.0148971116;334.7664965552;0.5170184993
55823.5984491;2455824.0984491;55300.794779478;1.8120689363;0.0053414425;0.7961;-0.8930177288;0.0032004288;0.4001407532;0.0061508153;0.15;-1.0653038155;0.0166895343;0.1722860866;0.0169936252;334.7664965552;0.5616965109
56180.830544;2456181.330544;55300.794779478;1.8418057228;0.0056835129;0.7961;-0.9106904854;0.0033504054;0.4395820748;0.0062483247;0.15;-1.1673717887;0.0154329141;0.2566813034;0.0157924049;334.7664965552;0.6288047746
