OD,OBSID,AOR,Date,Time,ModJD,Target,OBSMODE,Filter,Gain,     Dithering,Repetitions,PA (deg),ApertureRadius ("),     Peak Flux (Jy/pix),Pixel rms (Jy/pix),     Flux (Jy),ApCorrFlux (Jy),     Photometric error (Jy),xFWHM ("),yFWHM (")
299,1342191923,Calibration_RPPhotFPG_1-RPPhotFPG_261B_cPS_blu_SAA-20+30_OD299_i_HIP30326,2010-03-09,18:42:31,55264.7795255,HIP 30326,Point-source photometry,blue,High,true,1,264.991811182,12,0.0369516355044,0.000227472182394,1.81223478209,2.25841506335,0.00602939556294,6.12249030827,5.56624984504
484,1342204231,ObsCal_RP_FPG_PPhot_Blue_cycle22_HIP30326_1,2010-09-09,19:24:55,55448.8089699,HIP 30326,Point-source photometry,blue,High,true,1,83.8041208698,12,0.0330075548073,0.000228067317809,1.67058110593,2.08188562071,0.00604517026906,6.49203603135,5.49604037537
485,1342204308,ObsCal_RP_FPG_PPhot_Blue_cycle22_HIP30326_2,2010-09-10,18:35:35,55449.7747106,HIP 30326,Point-source photometry,blue,High,true,1,84.2517536107,12,0.0338610550136,0.000220052344128,1.67623005995,2.08892537239,0.00583272474609,6.001737126,5.57048158252
843,1342227965,ObsCal_RP_FPG_PPhot_Blue_cycle47_OD843_HIP30326,2011-09-03,15:13:45,55807.6345486,HIP 30326,Point-source photometry,blue,High,true,1,80.7506146669,12,0.030130120913,0.000215354466572,1.43886650308,1.79312184979,0.00570820243399,6.0181827701,5.4325801921
844,1342228160,ObsCal_RP_FPG_PPhot_Blue_cycle47_OD844_HIP30326,2011-09-04,15:24:07,55808.6417477,HIP 30326,Point-source photometry,blue,High,true,1,81.2494580466,12,0.0292901865141,0.000171286263558,1.46346588728,1.82377771203,0.00454012717783,6.15344591426,5.6194746071
858,1342228915,ObsCal_RP_FPG_PPhot_Blue_cycle48_OD858_HIP30326,2011-09-19,14:21:46,55823.5984491,HIP 30326,Point-source photometry,blue,High,true,1,88.1388355909,12,0.0295585618897,0.000201517644261,1.45407033772,1.81206893628,0.0053414425332,6.20124249086,5.38177205464
1216,1342250826,ObsCal_RP_FPG_PPhot_Blue_cycle74_OD1216_HIP30326,2012-09-10,19:55:59,56180.830544,HIP 30326,Point-source photometry,blue,High,true,1,84.5910198176,12,0.029765440658,0.000214423000761,1.47793222196,1.84180572279,0.00568351292791,6.30725321843,5.70650996205
