MJD;F_vobs_blau[Jy];delta_F_vobs_blau[Jy];F_v0_blau;m_b;delta_m_b;F_vobs_rot[Jy];delta_F_vobs_rot[Jy];F_v0_rot;m_r;delta_m_r;m_b-m_r;delta_m_b-m_r
55264.5015162;3.1723586442;0.0053714723;0.7961;-1.5010366393;0.0018383804;0.7094048506;0.0060011849;0.15;-1.6870072366;0.0091847466;0.1859705972;0.0093669211
55294.9895255;3.0802093987;0.0056012617;0.7961;-1.4690315444;0.0019743764;0.6975225728;0.0048759735;0.15;-1.6686675187;0.0075897485;0.1996359743;0.0078423494
55316.0081944;3.0917485541;0.0089195635;0.7961;-1.4730913561;0.0031323029;0.735176435;0.014520512;0.15;-1.7257507973;0.0214444382;0.2526594412;0.0216719923
55316.0147801;3.05814857;0.0172750255;0.7961;-1.4612273911;0.006133162;0.712942121;0.0229926779;0.15;-1.6924075369;0.0350154411;0.2311801458;0.0355485132
55165.5518171;3.2122277825;0.0055885424;0.7961;-1.5145967752;0.0018889329;0.7226174343;0.0051217236;0.15;-1.7070429409;0.0076954146;0.1924461658;0.0079238548
55239.0826042;3.1324180126;0.0048734797;0.7961;-1.4872802219;0.0016892105;0.6742964676;0.0059236321;0.15;-1.6318990637;0.0095380921;0.1446188419;0.0096865181
55510.8166782;2.9202483145;0.0044605489;0.7961;-1.411130395;0.0016584136;0.7143237776;0.004138295;0.15;-1.6945096191;0.0062900003;0.283379224;0.006504955
55285.756794;3.1112235943;0.0058138289;0.7961;-1.4799089994;0.0020288752;0.7237798764;0.0064736349;0.15;-1.7087881125;0.0097110462;0.2288791131;0.0099207234
